,cell,mcc,net,area,lon,lat,zone,road,dist_road,traffic,priority,clusterId
4632,131167043,624,2,51,11.510238647461,3.8925933837891,1,POINT (11.51886073728491 3.884486785645379),1.3143385037929647,0.7804680671499511,0.0,1.0
5262,11521,624,2,51,11.175766,2.917099,1,POINT (11.176773978739732 2.9120327963277077),0.574349663781448,0.3554828459100424,0.0,1.0
5263,16052,624,2,51,11.152725,2.919388,1,POINT (11.151792470702333 2.9193245491744904),0.10379802005224249,0.12280388643616891,0.0,1.0
5264,21891,624,2,51,11.17897,2.915421,1,POINT (11.179824656218756 2.9122307768806763),0.36721395627514014,0.8037722314551866,0.0,1.0
5265,11284,624,2,51,11.179276,2.917165,1,POINT (11.18228466098114 2.9134747351306487),0.5291602935904283,0.8402649558271016,0.0,1.0
5267,21893,624,2,51,11.180191,2.913895,1,POINT (11.180830316961504 2.912588181231996),0.16172826018338807,0.2820149343537708,0.0,1.0
5269,21887,624,2,51,11.149928,2.921677,1,POINT (11.150587823578235 2.919284818953429),0.27590612194666453,0.3433611929921272,0.0,1.0
5270,41202,624,2,51,11.154728,2.919102,1,POINT (11.153766325080682 2.9178394435701875),0.17639279734448954,0.2371427555324248,0.0,1.0
5271,17493,624,2,51,11.148867,2.923344,1,POINT (11.148702398278402 2.919165628290301),0.4649731698284415,0.6939792650581452,0.0,1.0
5272,21895,624,2,51,11.148475,2.894015,1,POINT (11.152258923613942 2.896919889629743),0.530015337098764,0.3470511755680137,0.0,1.0
5273,12072,624,2,51,11.12892,2.859726,1,POINT (11.132499927986885 2.8576439677392784),0.4600684663327972,0.4248478028246385,0.0,1.0
5274,12292,624,2,51,11.05339,2.639236,1,POINT (11.055813392938234 2.6397888327090584),0.276112975647468,0.38792164333132517,0.0,1.0
5275,3821,624,2,51,11.045151,2.583847,0,POINT (11.039008096170477 2.585974667402212),0.7222149643438432,0.11600042311582615,0.0,1.0
5276,12203,624,2,51,11.095113,2.519891,0,POINT (11.09435397046326 2.5120759533490684),0.8730747065941986,0.4374035659149874,0.0,1.0
5277,21769,624,2,51,11.25206,2.403397,0,POINT (11.25710102579373 2.409697963064218),0.8969597298781571,0.9933637712021124,0.0,1.0
5278,3831,624,2,51,11.264572,2.391434,0,POINT (11.269338688246108 2.3915928845713665),0.5298645219086312,0.6015031146955885,0.0,1.0
5279,16471,624,2,51,11.267755,2.385603,0,POINT (11.269059738508503 2.3845635691129417),0.18539268845995677,0.5794634045672977,0.0,1.0
5280,16473,624,2,51,11.266861,2.385712,0,POINT (11.267832544064845 2.383818250282758),0.23662718281582665,0.24589324522397493,0.0,1.0
5281,17491,624,2,51,11.152294,2.919496,1,POINT (11.151790291407508 2.9193810432018665),0.05737908660694279,0.013200921920305309,0.0,1.0
5282,11286,624,2,51,11.179276,2.916576,1,POINT (11.181037769065057 2.9126903566316855),0.4742959554562564,0.3374231153764321,0.0,1.0
5283,21888,624,2,51,11.156649,2.919911,1,POINT (11.15513282675505 2.916813666259827),0.3833613232266078,0.9560066825444402,0.0,1.0
5284,41351,624,2,51,11.152496,2.91687,1,POINT (11.153284281829173 2.918188968932526),0.17080125232904508,0.5090965487018013,0.0,1.0
5285,41723,624,2,51,11.150093,2.924767,1,POINT (11.151542187073574 2.919522362089367),0.6049751261144043,0.9129426066409726,0.0,1.0
5286,4024,624,2,51,11.150679,2.922969,1,POINT (11.151542187073574 2.919522362089367),0.3950546151054297,0.061748364601626915,0.0,1.0
5287,16053,624,2,51,11.151581,2.921448,1,POINT (11.151589125731363 2.9195323365541697),0.21301396763924077,0.7059906372335096,0.0,1.0
5288,4025,624,2,51,11.150711,2.921333,1,POINT (11.151018485763302 2.919371823108378),0.220730104472598,0.23819493348069498,0.0,1.0
5289,16472,624,2,51,11.266843,2.384316,0,POINT (11.267092338195596 2.3834139910927092),0.104053859982812,0.9590980439764838,0.0,1.0
5290,3823,624,2,51,11.048812866211,2.5440216064453,0,POINT (11.049853524505721 2.5436790810744867),0.12171451390807457,0.38732262618886815,0.0,1.0
5291,21767,624,2,51,11.269089,2.384445,0,POINT (11.269059738508503 2.3845635691129417),0.01357916672493668,0.3389700025222633,0.0,1.0
5292,3832,624,2,51,11.267666,2.381099,0,POINT (11.265475469073436 2.38145094936948),0.24649210282566242,0.46702601653760445,0.0,1.0
5293,12201,624,2,51,11.120568,2.510034,0,POINT (11.11879962343076 2.5170466733880517),0.8041379177369753,0.8927310985496018,0.0,1.0
5294,3822,624,2,51,11.047989,2.565445,0,POINT (11.038020959433737 2.55455133149988),1.6411543141165177,0.3927714862097891,0.0,1.0
5295,12293,624,2,51,11.073658,2.691463,1,POINT (11.06446351701328 2.689019773360627),1.056770947729048,0.37802115357724875,0.0,1.0
5296,12273,624,2,51,11.13121,2.82692,1,POINT (11.139065137466588 2.8222584223877902),1.014763540382649,0.3297988730223276,0.0,1.0
5297,41721,624,2,51,11.152954,2.919617,1,POINT (11.151790291407508 2.9193810432018665),0.13186706873157972,0.4249371810599778,0.0,1.0
5298,41353,624,2,51,11.14563,2.911377,1,POINT (11.145645937286162 2.9113169817966877),0.006904413985751047,0.42209191452168293,0.0,1.0
5299,16051,624,2,51,11.157761,2.91832,1,POINT (11.155772617424276 2.9162350634837537),0.3201638657213848,0.21622533507980435,0.0,1.0
5300,12291,624,2,51,11.093218,2.624589,1,POINT (11.059610059799695 2.63437387180187),3.8884217393516964,0.9290979396406992,0.0,1.0
5301,22002,624,2,51,11.15126,2.916458,1,POINT (11.153284281829173 2.918188968932526),0.2959405728385437,0.625266084926248,0.0,1.0
5302,12272,624,2,51,11.15181,2.833099,1,POINT (11.14477212388033 2.8300180530696935),0.8534024776524377,0.20252494859250347,0.0,1.0
5303,41562,624,2,51,11.162109,2.922363,1,POINT (11.155772617424276 2.9162350634837537),0.9795080853742909,0.21927982837650262,0.0,1.0
5304,12271,624,2,51,11.134779,2.797806,1,POINT (11.127406832161569 2.80441645183555),1.1003081374809245,0.5779631915249841,0.0,1.0
5305,12202,624,2,51,11.148035,2.496301,0,POINT (11.157168036664615 2.5068452266736188),1.550498206919562,0.40921475463886237,0.0,1.0
5306,11285,624,2,51,11.167431,2.911377,1,POINT (11.168468518523156 2.9131900856988864),0.23220700378408515,0.5943577034512878,0.0,1.0
5307,21892,624,2,51,11.162992,2.916772,1,POINT (11.165504426103894 2.913809843619532),0.4316644833383989,0.6711657384291675,0.0,1.0
5308,41203,624,2,51,11.151614,2.922854,1,POINT (11.151589125731363 2.9195323365541697),0.3693624523454368,0.13864554117922723,0.0,1.0
5309,16551,624,2,51,11.15284,2.93129,1,POINT (11.151589125731363 2.9195323365541697),1.3147513426754565,0.8365499649237683,0.0,1.0
5310,22003,624,2,51,11.152267,2.932205,1,POINT (11.151589125731363 2.9195323365541697),1.4111451732146323,0.3030404934726014,0.0,1.0
5311,41343,624,2,51,11.149063,2.934723,1,POINT (11.151589125731363 2.9195323365541697),1.7122608002263842,0.27731885807953927,0.0,1.0
5312,21894,624,2,51,11.14769,2.891464,1,POINT (11.142581932581095 2.895252980545621),0.7066106834203604,0.725222428979403,0.0,1.0
5313,41561,624,2,51,11.160049,2.924423,1,POINT (11.15513282675505 2.916813666259827),1.0069618419314623,0.5968763633696474,0.0,1.0
5314,12071,624,2,51,11.142197,2.881165,1,POINT (11.1479839853574 2.87852094161164),0.7067284866705889,0.7968373563559981,0.0,1.0
5315,12073,624,2,51,11.140823,2.89735,1,POINT (11.142581932581095 2.895252980545621),0.30418337968885323,0.1955935199661304,0.0,1.0
5316,17492,624,2,51,11.146905,2.911083,1,POINT (11.147152249105488 2.9108099604737276),0.04093499589430624,0.28875572924402104,0.0,1.0
5317,21896,624,2,51,11.144485,2.887344,1,POINT (11.1401829480738 2.8926229907868617),0.7568474972924021,0.8374011382007729,0.0,1.0
5318,21768,624,2,51,11.268539428711,2.3860931396484,0,POINT (11.269243469826051 2.3846653254174726),0.17698756170231494,0.8830814817004937,0.0,1.0
5319,11522,624,2,51,11.152496,2.927856,1,POINT (11.151589125731363 2.9195323365541697),0.9310120493964753,0.9420900805187568,0.0,1.0
5320,4026,624,2,51,11.16108,2.902451,1,POINT (11.160919525067982 2.91236002582761),1.101977509070691,0.428163788011929,0.0,1.0
10438,11523,624,2,51,11.154556274414,2.9299163818359,1,POINT (11.151681075209183 2.9195154889287664),1.1997918250331776,0.264797160114256,0.0,1.0
10442,18822,624,2,51,11.160736,2.829666,1,POINT (11.144807076416583 2.8298706992119094),1.7692021329851557,0.6596152022833662,0.0,1.0
10460,16913,624,2,51,11.154556274414,2.9299163818359,1,POINT (11.151681075209183 2.9195154889287664),1.1997918250331776,0.9887807748794899,0.0,1.0
10515,17211,624,2,51,11.114730834961,2.2199249267578,0,POINT (11.280290147656501 2.3230775316504264),21.67795781241609,0.2623377542714893,0.0,1.0
14856,131155028,624,2,51,11.559677124023,3.8459014892578,1,POINT (11.561474165380986 3.8501700167675494),0.5148113797217916,0.7278564636074578,0.0,1.0
16331,21772,624,2,51,11.335830688477,2.1842193603516,0,POINT (11.336996740110465 2.1836569775757084),0.1438664816967521,0.33932342873031074,0.0,1.0
16361,18021,624,2,51,11.338577270508,2.1869659423828,0,POINT (11.33878409714319 2.187040416610728),0.024427825339993162,0.5503221474972649,0.0,1.0
16744,131153023,624,2,51,11.604995727539,3.9159393310547,0,POINT (11.579239776795305 3.922456387926246),2.9476975804592347,0.2487797729289407,0.0,1.0
17308,41201,624,2,51,11.157302856445,2.9216766357422,1,POINT (11.153766325080682 2.9178394435701875),0.5799073618398414,0.42187499260118855,0.0,1.0
18131,16552,624,2,51,11.154556,2.914352,1,POINT (11.155772617424276 2.9162350634837537),0.24919220518180746,0.3240712580286481,0.0,1.0
18132,21889,624,2,51,11.14769,2.907257,1,POINT (11.148987382986292 2.9077957442735),0.15603454499138272,0.9988866407498086,0.0,1.0
18240,16912,624,2,51,11.158676,2.919273,1,POINT (11.155772617424276 2.9162350634837537),0.46697695248867843,0.7355190974929012,0.0,1.0
19056,131137902,624,2,51,11.477279663086,3.8417816162109,1,POINT (11.477601573284545 3.841101132809939),0.08367140927886359,0.7951137244599502,0.0,1.0
19741,18823,624,2,51,11.133041,2.878647,1,POINT (11.127264758902783 2.8877758200006554),1.2007811283789085,0.8609739073580447,0.0,1.0
19742,18821,624,2,51,11.13945,2.877045,1,POINT (11.147419967092844 2.8771749756000133),0.8852208057433276,0.5050952805445875,0.0,1.0
19884,41341,624,2,51,11.15181,2.930603,1,POINT (11.151589125731363 2.9195323365541697),1.2312459506142401,0.16987183155268093,0.0,1.0
20007,131139727,624,2,51,11.523971557617,3.8692474365234,1,POINT (11.52861651820757 3.865467325335345),0.6650046965924947,0.8742541018302995,0.0,1.0
20070,131153437,624,2,51,11.493301,3.867416,1,POINT (11.49447467964896 3.8715965920309543),0.4827524919533682,0.027935928798505594,0.0,1.0
20071,131139699,624,2,51,11.496505737305,3.8651275634766,1,POINT (11.495302057311221 3.8716125176470086),0.7333546239705543,0.8985566701886929,0.0,1.0
20840,131142937,624,2,51,11.512985229492,3.8637542724609,1,POINT (11.513194235463487 3.8662621812132727),0.2798290822466703,0.8646583833171234,0.0,1.0
20841,131142785,624,2,51,11.523971557617,3.8706207275391,1,POINT (11.52896612738894 3.8658828162756436),0.7645813431058119,0.2824962684491821,0.0,1.0
20842,131142942,624,2,51,11.512985229492,3.8637542724609,1,POINT (11.513194235463487 3.8662621812132727),0.2798290822466703,0.6539621053345568,0.0,1.0
20879,131153442,624,2,51,11.493073,3.866501,1,POINT (11.49447467964896 3.8715965920309543),0.5875557029102423,0.10787702072056748,0.0,1.0
20985,16561,624,2,51,11.155243,2.91687,1,POINT (11.15513282675505 2.916813666259827),0.01374515171836362,0.8649705580075405,0.0,1.0
20990,41352,624,2,51,11.150436401367,2.9010772705078,1,POINT (11.150327733122765 2.901222069071622),0.020121415935480495,0.42947247635190444,0.0,1.0
20995,16562,624,2,51,11.150436401367,2.9010772705078,1,POINT (11.150327733122765 2.901222069071622),0.020121415935480495,0.39918785497413667,0.0,1.0
21005,131154957,624,2,51,11.523971557617,3.8692474365234,1,POINT (11.52861651820757 3.865467325335345),0.6650046965924947,0.9651324056538684,0.0,1.0
21112,131153438,624,2,51,11.493073,3.867874,1,POINT (11.49425817509001 3.871669849864702),0.4420850522347836,0.947559909642321,0.0,1.0
21165,131142927,624,2,51,11.523971557617,3.8706207275391,1,POINT (11.52896612738894 3.8658828162756436),0.7645813431058119,0.7070371602143369,0.0,1.0
21330,131137999,624,2,51,11.51985168457,3.8994598388672,1,POINT (11.523669686592626 3.8980444302095236),0.4518555925807397,0.734204480237546,0.0,1.0
21331,131139703,624,2,51,11.496505737305,3.8651275634766,1,POINT (11.495302057311221 3.8716125176470086),0.7333546239705543,0.8918743861398347,0.0,1.0
21332,131142128,624,2,51,11.478652954102,3.8294219970703,1,POINT (11.471534919405627 3.829726638746365),0.7904482312590165,0.07633417087965189,0.0,1.0
21333,131143988,624,2,51,11.496505737305,3.8651275634766,1,POINT (11.495302057311221 3.8716125176470086),0.7333546239705543,0.8694213442710899,0.0,1.0
21391,131142977,624,2,51,11.504745483398,3.8623809814453,1,POINT (11.50809418265851 3.8699218877769113),0.917126118083995,0.9258221364592948,0.0,1.0
23357,131139734,624,2,51,11.525344848633,3.8706207275391,1,POINT (11.52979928856439 3.866799545025742),0.6517307654355061,0.4729723925267766,0.0,1.0
23468,131141244,624,2,51,11.493759155273,3.8678741455078,1,POINT (11.494641563341162 3.871558957285714),0.42126496096227645,0.7068007395836052,0.0,1.0
23845,131138028,624,2,51,12.522354125977,3.9076995849609,0,POINT (12.522112688709143 3.907768359900132),0.02785454317366356,0.5309201955898323,0.0,1.0
23847,131137897,624,2,51,11.493759155273,3.8678741455078,1,POINT (11.494641563341162 3.871558957285714),0.42126496096227645,0.2794914465834851,0.0,1.0
24148,131154913,624,2,51,11.522598266602,3.8651275634766,1,POINT (11.52434367542682 3.862132417519689),0.38524700536108597,0.6417263482967619,0.0,1.0
24432,131154187,624,2,51,11.523971557617,3.8733673095703,1,POINT (11.529878665187454 3.8668757365255715),0.9749422438990745,0.05289045498077993,0.0,1.0
24443,131141739,624,2,51,11.500625610352,3.8733673095703,1,POINT (11.500773679883878 3.872784223891614),0.06688478484938504,0.22693366396112946,0.0,1.0
25199,131142088,624,2,51,11.515731811523,3.8843536376953,1,POINT (11.517510496502666 3.882668331751887),0.2721315870516966,0.7643121684851039,0.0,1.0
25212,131143989,624,2,51,11.495132446289,3.8637542724609,1,POINT (11.49488497380932 3.8715576161812066),0.8681264816788331,0.7918803830807853,0.0,1.0
25213,131153332,624,2,51,11.493759155273,3.8678741455078,1,POINT (11.494641563341162 3.871558957285714),0.42126496096227645,0.5286537373976655,0.0,1.0
25218,131138782,624,2,51,11.526718139648,3.8692474365234,1,POINT (11.52979928856439 3.866799545025742),0.43696139985978566,0.6892997920543887,0.0,1.0
25375,131154193,624,2,51,11.523971557617,3.8706207275391,1,POINT (11.52896612738894 3.8658828162756436),0.7645813431058119,0.7891795052699895,0.0,1.0
25515,22001,624,2,51,11.16828918457,2.9189300537109,1,POINT (11.166898085144567 2.914103461687688),0.5584835158052011,0.70069630315023,0.0,1.0
25516,41342,624,2,51,11.147689819336,2.9326629638672,1,POINT (11.147562375627757 2.9192191886515957),1.4949465916625762,0.5107670708903547,0.0,1.0
8938,15329,624,2,1,11.512985229492,3.8665008544922,1,POINT (11.513038499702503 3.8664857265709145),0.006144630128086094,0.5806647204982843,0.0,3.0
9120,15331,624,2,1,11.512985229492,3.8651275634766,1,POINT (11.513194235463487 3.8662621812132727),0.12827684794769462,0.08349393342476508,0.0,3.0
4946,1021469,624,2,1005,9.917883,2.975656,0,POINT (9.917974730999447 2.9757977894441012),0.018770594827217595,0.8674914973267029,0.0,4.0
5530,1013409,624,2,1005,9.710953,4.058762,1,POINT (9.7108549699158 4.058733895948961),0.011313280433913444,0.5267014513616297,0.0,4.0
5533,1013407,624,2,1005,9.710159,4.05805,1,POINT (9.709898175668542 4.058000647059345),0.029445533279686138,0.35566180892895594,0.0,4.0
5534,1013166,624,2,1005,9.69841,4.046453,1,POINT (9.698106681922098 4.046259780008057),0.03991847141852134,0.2958024530950063,0.0,4.0
5553,1016484,624,2,1005,10.046082,3.93837,0,POINT (10.048209389748223 3.9399182391695717),0.2921163587220336,0.6547397293147897,0.0,4.0
5554,1016432,624,2,1005,9.983139,3.955307,0,POINT (9.985598584698835 3.948630724604243),0.7909193964480957,0.7066163639557348,0.0,4.0
5556,1013376,624,2,1005,9.708824,4.065971,1,POINT (9.708896119144129 4.066192532487918),0.02589950735241232,0.46410805643503894,0.0,4.0
5557,1016201,624,2,1005,10.138321,3.797836,0,POINT (10.136604270063856 3.79168335953662),0.7101625483965495,0.6520108583301395,0.0,4.0
5558,1014906,624,2,1005,9.717407,4.075928,1,POINT (9.717269221319327 4.075162761445171),0.08645197270674196,0.6538905514300243,0.0,4.0
5560,1013849,624,2,1005,9.728256,4.085403,1,POINT (9.726875385270347 4.082770428222545),0.33036053517745767,0.46507173153462034,0.0,4.0
5561,1013941,624,2,1005,9.693237,4.071945,1,POINT (9.692940831177225 4.072006388167125),0.03355106454518974,0.4979954814058911,0.0,4.0
5562,1013363,624,2,1005,9.700241,4.069061,1,POINT (9.701089549804465 4.069574127504239),0.11006110983766682,0.5384608403602589,0.0,4.0
5563,1016213,624,2,1005,10.115662,3.737412,0,POINT (10.116283854562255 3.7371138171157554),0.0765529369781424,0.6825359496914056,0.0,4.0
5564,1013095,624,2,1005,9.660041,4.091845,1,POINT (9.660013278931359 4.09176915565061),0.008976475434578093,0.7117285659269514,0.0,4.0
5565,1016393,624,2,1005,9.591579,4.134722,0,POINT (9.590680187536805 4.134913577312716),0.10193401455462654,0.626148366699391,0.0,4.0
5566,1013949,624,2,1005,9.615707,4.104843,1,POINT (9.615635376398217 4.104853474142516),0.008028675952818632,0.5746826767983408,0.0,4.0
5567,1013889,624,2,1005,9.645898,4.094467,1,POINT (9.645934363808863 4.09440308490386),0.008171673349033954,0.7456893341570592,0.0,4.0
5568,1013886,624,2,1005,9.647369,4.094467,1,POINT (9.64717086216504 4.0945561384558005),0.024107541318404983,0.29215149429723,0.0,4.0
5578,1013383,624,2,1005,9.705734,4.06105,1,POINT (9.70407275296293 4.06142054737316),0.18880900685932991,0.0923458241897871,0.0,4.0
5579,1013085,624,2,1005,9.673462,4.077988,1,POINT (9.67145994118124 4.0752621708168135),0.37573565629051064,0.31340531541672756,0.0,4.0
5580,1019208,624,2,1005,9.591751,4.115067,0,POINT (9.591338418393036 4.1153105689037375),0.05317312813890616,0.01762575354406004,0.0,4.0
5585,1013397,624,2,1005,9.6137237548828,4.2263031005859,0,POINT (9.61389202435717 4.2265182236296255),0.030337830163409088,0.5188459476268729,0.0,4.0
5589,1018673,624,2,1005,9.057541,4.054642,0,POINT (9.058239569730802 4.055617336710981),0.13328747049559242,0.7081976753308039,0.0,4.0
5591,1016804,624,2,1005,9.632825,4.100585,1,POINT (9.633238127433884 4.100501590014829),0.04674934173911806,0.8094768651892038,0.0,4.0
